l,b,gaia_l_median,gaia_l_std,gaia_b_median,gaia_b_std,synth_l_median,synth_l_std,synth_b_median,synth_b_std
10,-10,-5.043618571595066,3.605225031263788,-0.23935810578441497,2.8492219757052766,-5.0178812,4.017890125805726,-0.31190799,3.1484204568618863
-10,-9,-5.159654044789851,3.661811007611352,-0.6309807012815907,2.8748505534005218,-6.02478595,3.8115921659151857,-0.555924195,2.9704567831740794
-9,-9,-5.160073720060018,4.055223708009729,-0.6319629456848065,2.9319226374949174,-5.96950045,3.6764921255487413,-0.5150047,2.919345372954869
-8,-9,-5.328912485723861,3.5409903322286094,-0.636839573314425,2.7491760464361175,-6.0506607,3.6475822264136113,-0.42099696,2.791851741629416
-7,-9,-5.273198622927358,3.574385774144614,-0.5743602967626453,2.7981695822570227,-6.0351339,3.750267247124847,-0.49644967,2.763487549748293
-6,-9,-5.265014708918535,3.3775272885833734,-0.5741142177795072,2.735893222206482,-6.0279496,3.343575617015424,-0.42959517,2.7650976351792886
-5,-9,-5.2760384373112545,3.970141569882002,-0.513436284490481,2.8174851705572714,-5.9412246,3.324378976528193,-0.37549918,2.7603631650260354
-4,-9,-5.3720317050942406,3.3309411521221097,-0.4827487009753322,2.9563191919825065,-5.8375871,3.484661003209967,-0.37548811,2.8057397835856714
-3,-9,-5.285775773714964,3.275106507271179,-0.5302666136810378,2.8733569534258563,-5.84717745,3.4779050247772756,-0.36209617,2.7690424902471387
-2,-9,-5.2359368804121384,3.438183896687963,-0.4906623754767707,2.9202545151473367,-5.7267158,3.528492052993909,-0.37394922,2.814324807371776
-1,-9,-5.271178391571448,3.3276365671530104,-0.5904326496347169,2.981315940392492,-5.6765574,4.476278372330642,-0.382885815,3.0858574458423425
0,-9,-5.231976960260915,3.2753111901345244,-0.576721838056242,2.840152967796712,-5.6416415,3.1544581218320573,-0.33448645,2.7187348517102596
1,-9,-5.145636279135875,3.4996444464338587,-0.5195333447584869,2.9271284857124873,-5.563078900000001,3.2719180402355885,-0.333873195,2.6807285925981814
2,-9,-5.18301794526237,3.229575097775596,-0.5056323246176483,2.8347049516444316,-5.4374539,3.4917101739364464,-0.33671721,2.7371654845299043
3,-9,-5.15577920749315,3.529883550055785,-0.367855743737297,2.800696530071515,-5.4564777499999995,3.33590888461595,-0.336613395,2.75975899418792
4,-9,-5.21766944768858,3.3151066964389915,-0.36871636069361946,2.76196864853809,-5.44912,3.5230522515252662,-0.28756674,2.7223061479072292
5,-9,-5.054738657293219,3.2952682845464922,-0.2973631932720826,2.7838477791411114,-5.3449181,3.4885097105445135,-0.342510555,2.7856831966605484
6,-9,-5.221464091978884,3.4666140614998273,-0.21383010717399195,2.729646279587285,-5.1858703,3.7343967368167457,-0.33497484,2.637416405038818
7,-9,-5.252808303206351,3.54623444399365,-0.17530774128838056,2.698144014783929,-5.2777561,3.6613910323513554,-0.30148395,2.695528128383809
8,-9,-5.014921778010847,3.62409724853693,-0.3076534829433072,2.744640680096701,-5.1367903,3.3599561054624685,-0.29743017,2.7941582632820556
9,-9,-5.12832230470621,3.484136353459325,-0.19794041091599326,2.704710257495518,-5.0860041,3.9081520392251776,-0.24017108,2.756932765792604
10,-9,-5.1414308043231,3.4225077757830924,-0.18498452797766998,2.6885908099113127,-5.15139585,3.410961428549838,-0.285975075,2.772469640888433
-10,-8,-5.198157123188,4.208276557106978,-0.6212124696934276,2.838402054830284,-6.1101282999999995,3.6215523402978747,-0.50682043,2.676926111317001
-9,-8,-5.360183435795984,3.4590270973115977,-0.5748395406614102,2.7655233642490176,-6.1922693,3.4221149837677256,-0.44845859,2.608469822676962
-8,-8,-5.456055739173237,3.3384158422455106,-0.5171997240506382,2.720066712277658,-6.139599199999999,3.507193825999399,-0.403775785,2.5785741373103304
-7,-8,-5.518494927477405,3.481297346778094,-0.5197149820024817,2.8054887394546313,-6.155306,3.5729265254919707,-0.43139717,2.8889196479941903
-6,-8,-5.536067407067669,3.621122792121405,-0.49615983979185174,2.757049443578062,-6.2099001,3.1411091831790987,-0.35231217,2.6000264968895572
-5,-8,-5.539012720045104,3.443665522290175,-0.4908298905637016,2.743245657004717,-6.1266264,3.1948156492662587,-0.37255767,2.5990514901472097
-4,-8,-5.562162569042878,3.4574781333014917,-0.49482789338915023,2.796487355083713,-6.0085986,3.0988195649594394,-0.31343948,2.617912679619214
